PassengerId,Pclass,Sex,Age,Survived
287,3,male,30.0,1
288,3,male,22.0,0
289,2,male,42.0,1
290,3,female,22.0,1
291,1,female,26.0,1
292,1,female,19.0,1
293,2,male,36.0,0
294,3,female,24.0,0
295,3,male,24.0,0
297,3,male,23.5,0
298,1,female,2.0,0
300,1,female,50.0,1
303,3,male,19.0,0
306,1,male,0.92,1
308,1,female,17.0,1
309,2,male,30.0,0
310,1,female,30.0,1
311,1,female,24.0,1
312,1,female,18.0,1
313,2,female,26.0,0
314,3,male,28.0,0
315,2,male,43.0,0
316,3,female,26.0,1
317,2,female,24.0,1
318,2,male,54.0,0
319,1,female,31.0,1
320,1,female,40.0,1
321,3,male,22.0,0
322,3,male,27.0,0
323,2,female,30.0,1
324,2,female,22.0,1
326,1,female,36.0,1
327,3,male,61.0,0
328,2,female,36.0,1
329,3,female,31.0,1
330,1,female,16.0,1
332,1,male,45.5,0
333,1,male,38.0,0
334,3,male,16.0,0
337,1,male,29.0,0
338,1,female,41.0,1
339,3,male,45.0,1
340,1,male,45.0,0
341,2,male,2.0,1
342,1,female,24.0,1
343,2,male,28.0,0
344,2,male,25.0,0
345,2,male,36.0,0
346,2,female,24.0,1
347,2,female,40.0,1
349,3,male,3.0,1
350,3,male,42.0,0
351,3,male,23.0,0
353,3,male,15.0,0
354,3,male,25.0,0
356,3,male,28.0,0
357,1,female,22.0,1
358,2,female,38.0,0
361,3,male,40.0,0
362,2,male,29.0,0
363,3,female,45.0,0
364,3,male,35.0,0
366,3,male,30.0,0
367,1,female,60.0,1
370,1,female,24.0,1
371,1,male,25.0,1
372,3,male,18.0,0
373,3,male,19.0,0
374,1,male,22.0,0
375,3,female,3.0,0
377,3,female,22.0,1
378,1,male,27.0,0
379,3,male,20.0,0
380,3,male,19.0,0
381,1,female,42.0,1
382,3,female,1.0,1
383,3,male,32.0,0
384,1,female,35.0,1
386,2,male,18.0,0
387,3,male,1.0,0
388,2,female,36.0,1
390,2,female,17.0,1
391,1,male,36.0,1
392,3,male,21.0,1
393,3,male,28.0,0
394,1,female,23.0,1
395,3,female,24.0,1
396,3,male,22.0,0
397,3,female,31.0,0
398,2,male,46.0,0
399,2,male,23.0,0
400,2,female,28.0,1
401,3,male,39.0,1
402,3,male,26.0,0
403,3,female,21.0,0
404,3,male,28.0,0
405,3,female,20.0,0
406,2,male,34.0,0
407,3,male,51.0,0
408,2,male,3.0,1
409,3,male,21.0,0
413,1,female,33.0,1
415,3,male,44.0,1
417,2,female,34.0,1
418,2,female,18.0,1
419,2,male,30.0,0
420,3,female,10.0,0
422,3,male,21.0,0
423,3,male,29.0,0
424,3,female,28.0,0
425,3,male,18.0,0
427,2,female,28.0,1
428,2,female,19.0,1
430,3,male,32.0,1
431,1,male,28.0,1
433,2,female,42.0,1
434,3,male,17.0,0
435,1,male,50.0,0
436,1,female,14.0,1
437,3,female,21.0,0
438,2,female,24.0,1
439,1,male,64.0,0
440,2,male,31.0,0
441,2,female,45.0,1
442,3,male,20.0,0
443,3,male,25.0,0
444,2,female,28.0,1
446,1,male,4.0,1
447,2,female,13.0,1
448,1,male,34.0,1
449,3,female,5.0,1
450,1,male,52.0,1
451,2,male,36.0,0
453,1,male,30.0,0
454,1,male,49.0,1
456,3,male,29.0,1
457,1,male,65.0,0
459,2,female,50.0,1
461,1,male,48.0,1
462,3,male,34.0,0
463,1,male,47.0,0
464,2,male,48.0,0
466,3,male,38.0,0
468,1,male,56.0,0
470,3,female,0.75,1
472,3,male,38.0,0
473,2,female,33.0,1
474,2,female,23.0,1
475,3,female,22.0,0
477,2,male,34.0,0
478,3,male,29.0,0
479,3,male,22.0,0
480,3,female,2.0,1
481,3,male,9.0,0
483,3,male,50.0,0
484,3,female,63.0,1
485,1,male,25.0,1
487,1,female,35.0,1
488,1,male,58.0,0
489,3,male,30.0,0
490,3,male,9.0,1
492,3,male,21.0,0
493,1,male,55.0,0
494,1,male,71.0,0
495,3,male,21.0,0
497,1,female,54.0,1
499,1,female,25.0,0
500,3,male,24.0,0
501,3,male,17.0,0
502,3,female,21.0,0
504,3,female,37.0,0
505,1,female,16.0,1
506,1,male,18.0,0
507,2,female,33.0,1
509,3,male,28.0,0
510,3,male,26.0,1
511,3,male,29.0,1
513,1,male,36.0,1
514,1,female,54.0,1
515,3,male,24.0,0
516,1,male,47.0,0
517,2,female,34.0,1
519,2,female,36.0,1
520,3,male,32.0,0
521,1,female,30.0,1
522,3,male,22.0,0
524,1,female,44.0,1
526,3,male,40.5,0
527,2,female,50.0,1
529,3,male,39.0,0
530,2,male,23.0,0
531,2,female,2.0,1
533,3,male,17.0,0
535,3,female,30.0,0
536,2,female,7.0,1
537,1,male,45.0,0
538,1,female,30.0,1
540,1,female,22.0,1
541,1,female,36.0,1
542,3,female,9.0,0
543,3,female,11.0,0
544,2,male,32.0,1
545,1,male,50.0,0
546,1,male,64.0,0
547,2,female,19.0,1
549,3,male,33.0,0
550,2,male,8.0,1
551,1,male,17.0,1
552,2,male,27.0,0
554,3,male,22.0,1
555,3,female,22.0,1
556,1,male,62.0,0
557,1,female,48.0,1
559,1,female,39.0,1
560,3,female,36.0,1
562,3,male,40.0,0
563,2,male,28.0,0
566,3,male,24.0,0
567,3,male,19.0,0
568,3,female,29.0,0
570,3,male,32.0,1
571,2,male,62.0,1
572,1,female,53.0,1
573,1,male,36.0,1
575,3,male,16.0,0
576,3,male,19.0,0
577,2,female,34.0,1
578,1,female,39.0,1
580,3,male,32.0,1
581,2,female,25.0,1
582,1,female,39.0,1
583,2,male,54.0,0
584,1,male,36.0,0
586,1,female,18.0,1
587,2,male,47.0,0
588,1,male,60.0,1
589,3,male,22.0,0
591,3,male,35.0,0
592,1,female,52.0,1
593,3,male,47.0,0
595,2,male,37.0,0
596,3,male,36.0,0
598,3,male,49.0,0
600,1,male,49.0,1
601,2,female,24.0,1
604,3,male,44.0,0
605,1,male,35.0,1
606,3,male,36.0,0
607,3,male,30.0,0
608,1,male,27.0,1
609,2,female,22.0,1
610,1,female,40.0,1
611,3,female,39.0,0
615,3,male,35.0,0
616,2,female,24.0,1
617,3,male,34.0,0
618,3,female,26.0,0
619,2,female,4.0,1
620,2,male,26.0,0
621,3,male,27.0,0
622,1,male,42.0,1
623,3,male,20.0,1
624,3,male,21.0,0
625,3,male,21.0,0
626,1,male,61.0,0
627,2,male,57.0,0
628,1,female,21.0,1
629,3,male,26.0,0
631,1,male,80.0,1
632,3,male,51.0,0
633,1,male,32.0,1
635,3,female,9.0,0
636,2,female,28.0,1
637,3,male,32.0,0
638,2,male,31.0,0
639,3,female,41.0,0
641,3,male,20.0,0
642,1,female,24.0,1
643,3,female,2.0,0
645,3,female,0.75,1
646,1,male,48.0,1
647,3,male,19.0,0
648,1,male,56.0,1
650,3,female,23.0,1
652,2,female,18.0,1
653,3,male,21.0,0
655,3,female,18.0,0
656,2,male,24.0,0
658,3,female,32.0,0
659,2,male,23.0,0
660,1,male,58.0,0
661,1,male,50.0,1
662,3,male,40.0,0
663,1,male,47.0,0
664,3,male,36.0,0
665,3,male,20.0,1
666,2,male,32.0,0
667,2,male,25.0,0
669,3,male,43.0,0
671,2,female,40.0,1
672,1,male,31.0,0
673,2,male,70.0,0
674,2,male,31.0,1
676,3,male,18.0,0
677,3,male,24.5,0
678,3,female,18.0,1
679,3,female,43.0,0
680,1,male,36.0,1
682,1,male,27.0,1
683,3,male,20.0,0
684,3,male,14.0,0
685,2,male,60.0,0
686,2,male,25.0,0
687,3,male,14.0,0
688,3,male,19.0,0
689,3,male,18.0,0
690,1,female,15.0,1
691,1,male,31.0,1
692,3,female,4.0,1
694,3,male,25.0,0
695,1,male,60.0,0
696,2,male,52.0,0
697,3,male,44.0,0
699,1,male,49.0,0
700,3,male,42.0,0
701,1,female,18.0,1
702,1,male,35.0,1
703,3,female,18.0,0
704,3,male,25.0,0
705,3,male,26.0,0
706,2,male,39.0,0
707,2,female,45.0,1
708,1,male,42.0,1
709,1,female,22.0,1
711,1,female,24.0,1
713,1,male,48.0,1
714,3,male,29.0,0
715,2,male,52.0,0
716,3,male,19.0,0
717,1,female,38.0,1
718,2,female,27.0,1
720,3,male,33.0,0
721,2,female,6.0,1
722,3,male,17.0,0
723,2,male,34.0,0
724,2,male,50.0,0
725,1,male,27.0,1
726,3,male,20.0,0
727,2,female,30.0,1
729,2,male,25.0,0
730,3,female,25.0,0
731,1,female,29.0,1
732,3,male,11.0,0
734,2,male,23.0,0
735,2,male,23.0,0
736,3,male,28.5,0
737,3,female,48.0,0
738,1,male,35.0,1
742,1,male,36.0,0
743,1,female,21.0,1
744,3,male,24.0,0
745,3,male,31.0,1
746,1,male,70.0,0
747,3,male,16.0,0
748,2,female,30.0,1
749,1,male,19.0,0
750,3,male,31.0,0
751,2,female,4.0,1
752,3,male,6.0,1
753,3,male,33.0,0
754,3,male,23.0,0
755,2,female,48.0,1
756,2,male,0.67,1
757,3,male,28.0,0
758,2,male,18.0,0
759,3,male,34.0,0
760,1,female,33.0,1
762,3,male,41.0,0
763,3,male,20.0,1
764,1,female,36.0,1
765,3,male,16.0,0
766,1,female,51.0,1
768,3,female,30.5,0
770,3,male,32.0,0
771,3,male,24.0,0
772,3,male,48.0,0
773,2,female,57.0,0
775,2,female,54.0,1
776,3,male,18.0,0
778,3,female,5.0,1
780,1,female,43.0,1
781,3,female,13.0,1
782,1,female,17.0,1
783,1,male,29.0,0
785,3,male,25.0,0
786,3,male,25.0,0
787,3,female,18.0,1
788,3,male,8.0,0
789,3,male,1.0,1
790,1,male,46.0,0
792,2,male,16.0,0
795,3,male,25.0,0
796,2,male,39.0,0
797,1,female,49.0,1
798,3,female,31.0,1
799,3,male,30.0,0
800,3,female,30.0,0
801,2,male,34.0,0
802,2,female,31.0,1
803,1,male,11.0,1
804,3,male,0.42,1
805,3,male,27.0,1
806,3,male,31.0,0
807,1,male,39.0,0
808,3,female,18.0,0
809,2,male,39.0,0
810,1,female,33.0,1
811,3,male,26.0,0
812,3,male,39.0,0
813,2,male,35.0,0
814,3,female,6.0,0
815,3,male,30.5,0
817,3,female,23.0,0
818,2,male,31.0,0
819,3,male,43.0,0
820,3,male,10.0,0
821,1,female,52.0,1
822,3,male,27.0,1
823,1,male,38.0,0
824,3,female,27.0,1
825,3,male,2.0,0
828,2,male,1.0,1
830,1,female,62.0,1
831,3,female,15.0,1
832,2,male,0.83,1
834,3,male,23.0,0
835,3,male,18.0,0
836,1,female,39.0,1
837,3,male,21.0,0
839,3,male,32.0,1
841,3,male,20.0,0
842,2,male,16.0,0
843,1,female,30.0,1
844,3,male,34.5,0
845,3,male,17.0,0
846,3,male,42.0,0
848,3,male,35.0,0
849,2,male,28.0,0
851,3,male,4.0,0
852,3,male,74.0,0
853,3,female,9.0,0
854,1,female,16.0,1
855,2,female,44.0,0
856,3,female,18.0,1
857,1,female,45.0,1
858,1,male,51.0,1
859,3,female,24.0,1
861,3,male,41.0,0
862,2,male,21.0,0
863,1,female,48.0,1
865,2,male,24.0,0
866,2,female,42.0,1
867,2,female,27.0,1
868,1,male,31.0,0
870,3,male,4.0,1
871,3,male,26.0,0
872,1,female,47.0,1
873,1,male,33.0,0
874,3,male,47.0,0
875,2,female,28.0,1
876,3,female,15.0,1
877,3,male,20.0,0
878,3,male,19.0,0
880,1,female,56.0,1
881,2,female,25.0,1
882,3,male,33.0,0
883,3,female,22.0,0
884,2,male,28.0,0
885,3,male,25.0,0
886,3,female,39.0,0
887,2,male,27.0,0
888,1,female,19.0,1
890,1,male,26.0,1
891,3,male,32.0,0
